,scenario,t,d,lon_velocity
0,ZAM_Tjunction-1_518_T-1,2.6999999999999997,-0.008606283981339337,5.583875
1,ZAM_Tjunction-1_518_T-1,2.6999999999999997,-0.006841134997133447,5.585572689256944
2,ZAM_Tjunction-1_518_T-1,2.6999999999999997,-0.004380734205368813,5.590361484982028
3,ZAM_Tjunction-1_518_T-1,2.6999999999999997,-0.0015349467868129546,5.597771423157484
4,ZAM_Tjunction-1_518_T-1,2.6999999999999997,0.0,5.607433448069814
5,ZAM_Tjunction-1_518_T-1,2.6999999999999997,0.0,5.619035108178064
6,ZAM_Tjunction-1_518_T-1,2.6999999999999997,0.0,5.6323027687218685
7,ZAM_Tjunction-1_518_T-1,2.6999999999999997,0.0,5.647000443450686
8,ZAM_Tjunction-1_518_T-1,2.6999999999999997,0.0,5.662923878538814
9,ZAM_Tjunction-1_518_T-1,2.6999999999999997,0.0,5.679899449511353
10,ZAM_Tjunction-1_518_T-1,2.6999999999999997,0.0,5.697776140213173
11,ZAM_Tjunction-1_518_T-1,2.6999999999999997,0.0,5.716425235903748
12,ZAM_Tjunction-1_518_T-1,2.6999999999999997,0.0,5.735825602231593
13,ZAM_Tjunction-1_518_T-1,2.6999999999999997,0.0,5.755883988530026
14,ZAM_Tjunction-1_518_T-1,2.6999999999999997,0.0,5.776468267301285
15,ZAM_Tjunction-1_518_T-1,2.6999999999999997,0.0,5.797485404077815
16,ZAM_Tjunction-1_518_T-1,2.6999999999999997,0.0,5.81871846446685
17,ZAM_Tjunction-1_518_T-1,2.6999999999999997,0.0,5.840208442541447
18,ZAM_Tjunction-1_518_T-1,2.6999999999999997,0.016318405368362536,4.283723540614079
19,ZAM_Tjunction-1_518_T-1,2.6999999999999997,0.015470953108644,4.299225681857257
20,ZAM_Tjunction-1_518_T-1,2.6999999999999997,0.014564172624024851,4.303160164591573
21,ZAM_Tjunction-1_518_T-1,2.6999999999999997,0.0,5.875490376096072
