,scenario,init_x,init_y,init_theta,init_velocity,goal_x,goal_y
0,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
1,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
2,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
3,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
4,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
5,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
6,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
7,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
8,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
9,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
10,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
11,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
12,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
13,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
14,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
15,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
16,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
17,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
18,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
19,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
20,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
21,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
22,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
23,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
24,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
25,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
26,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
27,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
28,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
29,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
30,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
31,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
32,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
33,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
34,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
35,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
36,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
37,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
38,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
39,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
40,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
41,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
42,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
43,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
44,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
45,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
46,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
47,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
48,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
49,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
50,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
51,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
52,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
53,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
54,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
55,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
56,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
57,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
58,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
59,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
60,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
61,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
62,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
63,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
64,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
65,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
66,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
67,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
68,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
69,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
70,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
71,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
72,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
73,ZAM_Tjunction-1_518_T-1,0.0,0.0,0.0917,5.162,18.94779867523033,96.84294945959728
